CNPJ,Razao Social,Fundacao,Cidade,Apta,Telefone,Email
01140147000220,PTT SERVICOS EMPRESARIAIS LTDA,2004-04-07,SAO PAULO,Sim,(11) 31233030 | (51) 32283055,andrea.fe@poa.performance.com.br
01460921000361,XWORK RECURSOS HUMANOS LTDA,2002-03-15,INDAIATUBA,Nao,(19) 38166945,auge@splicenet.com.br
01028686000191,START SERVICOS TEMPORARIOS LTDA,1996-01-24,SAO PAULO,Sim,(11) 31199041 | (11) 31164090,roberta.ferreira@ecb.cnt.br
00686465000148,ALLIAGE CONSULTORIA EM RECURSOS HUMANOS LTDA,1995-06-20,RIO DE JANEIRO,Nao,(21) 20042204 | (21) 20042205,FATIMARODRIGUES@ALLIAGE.COM.BR
01282584000106,QW RECURSOS HUMANOS LTDA,1996-06-26,SAO PAULO,Nao,(11) 25920083,CONTATO@QWRH.COM.BR
01290412000257,ESPERANCA EFETIVOS E TEMPORARIOS LTDA,2016-03-11,PRAIA GRANDE,Nao,(11) 20230297,DESTAKE@DESTAKE.COM
00789914000183,AG BRASIL EMPRESA BRASILEIRA DE RECURSOS HUMANOS LTDA,1995-08-23,RIO DE JANEIRO,Nao,(21) 25449035 | (21) 22221803,mvcontab@superig.com.br
00608622000105,EXPECTATIV RECURSOS HUMANOS LTDA,1995-05-12,SAO PAULO,Sim,(11) 55885308,DP2@EXPECTATIV.COM.BR
00196526009811,3778 GESTAO EM SAUDE LTDA,2020-03-03,BETIM,Nao,(41) 30938604 | (41) 30938600,CONTABILIDADE@GRUPOIMPLUS.COM.BR
01189533000126,HALLER CONSULTORIA E RECURSOS HUMANOS LTDA,1996-05-13,SAO PAULO,Sim,(11) 36037077 | (11) 48244835,RICPROE@GMAIL.COM
01128035000173,VENDA NOVA CONSTRUCOES LTDA,1996-03-19,BELO HORIZONTE,Nao,(31) 88857592,JOSEMIR1979@YAHOO.COM.BR
01460921000795,XWORK RECURSOS HUMANOS LTDA,2009-01-30,ITU,Sim,(15) 32241669 | (15) 32241669,esccaldeira@terra.com.br
00141595000367,NOVA ERA CONSULTORIA E SERVICOS LTDA,2002-04-29,BRAGANCA PAULISTA,Sim,(11) 40336006 | (11) 40333451,jrcontassessoria@uol.com.br
00078599002634,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2019-02-01,UBERLANDIA,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
00783587000152,SUPORTE EMPREITEIRA DE MAO DE OBRA LTDA,1995-08-08,TABOAO DA SERRA,Nao,(11) 23375257,legal@informarcontabil.com.br
00973749001359,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-02-11,SAO JOSE DO RIO PRETO,Nao,(11) 33826539 | (11) 33826579,vanessa.oliveira@allis.com.br
01460921000523,XWORK RECURSOS HUMANOS LTDA,2008-01-10,BOITUVA,Nao,(15) 32241669 | (15) 32241669,esccaldeira@terra.com.br
00973749002240,TOP SERVICE SERVICOS E SISTEMAS S/A,2019-03-01,BELO HORIZONTE,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00293895000108,MODI MAO DE OBRA E SERVICOS LTDA,1994-10-27,SAO CAETANO DO SUL,Sim,(11) 44277785,CHRISTIANO@GRUPOCASTELMAR.COM.BR
00692318000180,AMBC TEMPORARIOS LTDA,1995-07-07,SAO PAULO,Sim,(11) 31058825 | (11) 31071901,MARIA.MAZZARELLO@AMBC.COM.BR
00973749001510,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-09-05,BELO HORIZONTE,Nao,(31) 25260202,AMG@AMGCONSULTORES.COM.BR
01395176002104,RHBRASIL SERVICOS TEMPORARIOS LTDA,2009-06-09,SOROCABA,Nao,(47) 34220502,mayco@dunzer.com.br
00732401000136,SANTA MARIA PRODUTOS E SERVICOS LTDA,1995-07-13,SAO PAULO,Nao,(11) 20843101 | (11) 20843101,SANTAMARIA@UOL.COM.BR
00999676000130,"GE - TERCEIRIZACAO, CONSERVACAO E LIMPEZA LTDA",1995-12-11,BELO HORIZONTE,Nao,(31) 34211030,geconservacao@ig.com.br
01403703000557,CAIC SERVICOS TEMPORARIOS LTDA,2001-06-06,SAO PAULO,Nao,(11) 36415549,DIRETORIA@CAIC.COM.BR
00084664000186,ZAG WORK CONSULTORIA EM RECURSOS HUMANOS LTDA,1994-05-23,SAO PAULO,Sim,(11) 30794892,ZAGWORK@ZAGWORK.COM
00489793000154,LUANDRE SERVICOS TEMPORARIOS LTDA,1995-03-14,SAO PAULO,Nao,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00363026000102,MODUS SERVICOS TEMPORARIOS E EMPRESARIAIS LTDA,1994-12-19,GUARULHOS,Sim,(11) 49668830,AMAURI@GRUPOMODUSRH.COM.BR
01060802000230,NOVA RECURSOS HUMANOS LTDA,2009-03-09,ITAQUAQUECETUBA,Sim,(11) 47994815,alves@escritorioalves.com.br
01416453000166,ORIENTE TERCEIRIZACAO DE MAO DE OBRA LTDA,1996-09-02,SAO PAULO,Sim,(11) 20939401,DIRETORIA@GRUPOORIENTE.COM
01158403000126,MUNDIAL-ASSESSORIA DE RECURSOS HUMANOS LTDA,1996-02-07,CAMPINAS,Nao,(19) 32313615,rh.mundial@uol.com.br
00973749003998,TOP SERVICE SERVICOS E SISTEMAS S/A,2025-09-10,NOVA LIMA,Sim,(11) 21978888,JOSE.BONANO@GPSSA.COM.BR
00946622000107,REAL SERVICOS TECNICOS E VIGILANCIA LTDA,1995-11-14,SAO CAETANO DO SUL,Nao,(11) 43623877,real@realserv.com.br
00015805000109,IMED TRABALHO TEMPORARIO LTDA,1994-06-10,COTIA,Sim,(11) 47032626,TRUDE@TRUDE.COM.BR
